,GSM997604,GSM997618,GSM997606,GSM997626,GSM997628,GSM997624,GSM997625,GSM997623,GSM997611,GSM997602,GSM997614,GSM997603,GSM997617,GSM997612,GSM997607,GSM997615,GSM997613,GSM997608,GSM997600,GSM997621,GSM997620,GSM997627,GSM997609,GSM997629,GSM997605,GSM997622,GSM997610,GSM997601,GSM997616,GSM997619
2882,6.914585917,5.558675195,6.856447517,5.686967612999999,6.8256864,7.3598878039999995,7.346826686,7.646386237000001,5.5657439,8.267783438,9.349278764,8.257706418,5.971859867999999,7.346152635,8.248915074,5.7630145839999996,7.274706214,7.992441689,7.193376519,7.744476659,6.616699468999999,7.29608295,6.941549481,9.613330493,4.761330688,6.036459879,6.705757586,5.103657238,5.493236337999999,6.751447217999999
6342,11.44043508,11.18057857,10.46982677,9.211125043,11.34254363,11.42866224,11.50179252,11.64868043,9.991049312000001,11.81427225,11.559641000000001,11.52676737,10.73523381,11.04120111,11.14427836,10.6188966,11.35540914,10.62437777,11.11603665,10.538912400000001,10.97283832,11.78130822,11.07299238,11.99982918,5.420907199,11.02663849,10.53515198,7.442127647,9.189468888,10.32723331
271,9.082710984,8.91899887,9.95409064,8.278602674,9.162672907000001,9.159609578,9.101298645,9.254692415,9.079432735,9.009235296,9.512771419,9.421274529,8.786221659,9.861818291,9.144002946,8.960031975,9.318935666,9.593900502999999,9.403184066,9.898518809,9.929969965,8.933653807999999,9.540058456,9.191724249,7.478665104,8.288634652999999,9.915955528,9.161769826,8.145906723,9.010608241
51102,5.783761072000001,4.480023478000001,5.098421987,5.561046317000001,5.05498266,5.147773902,6.274533699,5.0270885860000005,5.520017446000001,5.910919664,5.67460356,5.692907026,5.397786084,3.9481621710000003,5.582843502,4.468456959,4.6545672410000005,5.441935984,4.9239588780000005,5.164372408,5.139925435,5.486317176,5.528019372999999,5.9759402139999995,4.974352027,5.264533963,5.1227073889999994,4.6827393189999995,5.1341228160000005,5.256032891
515,12.27569745,11.75454212,11.21810228,9.566199699999999,11.87154468,11.96288684,12.20238408,12.01095205,10.60262986,12.63016275,11.83035587,12.55419513,11.13490812,10.84888638,12.11448714,11.54483449,11.81579142,11.10978894,11.67589799,11.29532787,11.5956111,12.46398381,11.86604709,12.43214462,6.54045828,11.10250605,10.28179688,6.762203975,9.227325337,10.8386441
6723,7.621070692999999,6.010653034,8.164309347,6.662113032000001,6.844016174,6.401217182000001,7.744302403,6.936880276,6.507389795,7.150820233999999,8.174814432,7.831398202000001,6.220617497999999,6.803210037,7.461380782000001,5.266426966,7.883305692,7.813876825,7.4988664389999995,6.815336472,7.209349637000001,6.924896091,7.763803545,7.970745654,5.664659622,7.354022372,7.865779538,4.179877028,6.115896064,7.195627151
23169,8.678230349,7.479276682999999,8.145014656,8.155682222000001,7.778154896,8.403634878,9.087178493,8.668559315,7.383984719,8.537824135,9.037390604,6.719341421,6.607488374,7.579585312000001,7.766992295,6.936296893,8.168469995,8.827740123,8.133822757999999,9.020959065,7.074473912,8.062003141,7.999645801000001,9.825716567,6.902389092999999,8.241900597999999,8.136799318,10.23457213,7.401779534,7.28859548
5321,4.609494038999999,6.0975476660000005,3.936273365,4.722199483,5.0921516339999995,4.2562058160000005,6.068510366,4.294679073999999,4.184930924,7.077697185,4.729289845,4.276684448,4.585989977,4.224581034,4.120006045,4.345799414,5.2736859439999995,5.174893149,5.297300394,4.6267210830000005,4.258818825,6.207202251,6.113059177999999,6.7803159310000005,3.587027134,6.693654766,3.483922517,3.8999110989999997,4.173052834,4.229677059
270,3.550526304,4.061030897,3.536854204,4.565336653999999,4.807565695,3.432023177,4.1030300760000005,3.4759128230000003,4.919780585,4.048361447,3.95439167,4.347947492,3.799564065,3.969459309,5.452549112000001,4.977141321,4.30952091,3.883645427,4.143327157,3.9200243880000003,3.5886939110000005,4.2489801819999995,3.963505618,3.5449779539999997,4.424520608,5.028548949,3.8484236089999997,5.00469847,4.518328597,4.301730823
1491,4.5111807289999994,6.23446852,3.550361389,4.482310289,4.805529302,5.504130279,4.4710721939999996,5.2415515930000005,4.494264799,4.993402776,4.620607187,5.464521443,4.365928348,3.396204035,4.478220128999999,4.841417776,3.743675389,3.9661766239999996,3.748721119,5.572954526,3.803867445,4.982743903,3.768360008,6.2203141429999995,3.5135085210000003,5.370362141,4.172873008,3.6105887639999996,4.058746248,4.305892288
79814,5.672095489,4.875503481,5.523304351,4.684102352,4.312029128,4.876076156,4.855151128999999,4.548478597,4.723553882,4.893597853999999,4.738858859,4.652229086,4.9568281260000004,5.611557444,4.791985926000001,5.329119958,4.992711019,4.988827274,5.154264849,5.584045592000001,4.40718046,5.019586922,5.110129385,5.063041141999999,5.909092315,4.817635963,5.551550098,5.577405113999999,4.899487979,4.956018156
51179,4.144731977,4.02955475,4.049111119,4.216473878,4.398258236,3.905630832,4.0994999,4.074518379,3.7316066560000003,3.892424195,3.927947798,4.033858399,3.535626232,4.529052496,3.379984341,4.819159923,4.37698318,4.100414186,4.044549709,4.46111531,4.346127737,4.076104247,4.063792349,3.87719258,5.079868653,4.05874284,4.009682369,4.973010532,4.136734293,4.506042518
8443,10.171242800000002,9.429743988,9.830432281,8.801865282,9.994336847000001,10.18441157,10.37173427,10.13884771,9.372147259,10.27124413,10.03350804,10.31168121,9.596749388,9.884814797999999,10.01095769,9.833315997,9.808190135,9.705775427,10.09230206,8.994533271,10.45776249,10.41055858,9.469193572,10.09111064,6.816535518999999,10.21421513,9.444800613,8.980493714,8.707658915,9.605543512999999
84618,4.99161884,5.04912016,5.707280255,4.899990533,5.5153571370000005,5.417200059,4.945188723999999,5.404635776,5.019315377,4.91186079,5.407077243,4.950839095,4.810134569,4.683999333,5.134587622,5.47754632,5.138573901,5.437811041000001,5.67933161,5.97010627,5.119608623,5.245376765,5.511260565,4.9068204810000005,5.73354173,4.828870533,5.662334744,5.8636539260000005,4.865213691,4.922212382
4548,8.741824012999999,9.054195484,7.9853315579999995,7.829215883,9.481098868,9.048955572999999,8.753028864,9.297236339,7.942677956,8.785102616,8.75318285,8.436975514,8.578133649,8.91148753,8.039902816,8.8302231,8.252378746,8.690399694,7.659860526,7.668107759,8.786627606,8.493386572,8.532810158,9.888014591000001,3.773695778,9.73133781,7.105806544,5.432685856,7.528686017999999,8.12985533
8564,4.508146157,3.9334783019999997,6.061900016,5.393052963,4.822221806,5.32896904,4.400223861000001,5.550318053,4.958904551,5.7720569820000005,4.651512101000001,4.690534673,4.336779048,4.88796986,6.681958333,5.1915216719999995,4.152495697,4.6893793310000005,4.863638975,4.520903929,3.9576385339999995,4.240982219,5.418131991,5.236418829,4.783677918,3.802791861,4.654725548,4.801824572,5.020236914,4.272777016
34,9.237107965,9.454256427999999,7.980821895,7.774455004,9.86346235,8.984734735,9.491944522,9.302215639,8.183431641,9.763995631,8.893402711,9.721568464,9.130422492000001,8.378800915,8.628227459,7.878950558,8.885372046,8.341293776,8.562453958999999,7.328190664,9.278072062,10.00167155,8.453776645,9.795591995,4.162167025,9.686658927,7.663580004,4.026960096,7.515442414,9.035137004
81849,8.687502752,5.238653781,8.698462905,7.4426207689999995,8.105199182,9.22659044,9.563136300000002,9.273171255,6.4033589179999995,8.013089425,9.501604155,6.599268342999999,6.062827928,8.000490648,5.91182156,5.643715599999999,8.234769588999999,9.133859782,8.622544244,5.81284778,4.255816016,7.47275909,8.070190939,10.23305586,4.480784588,7.681644502,7.494924495,5.406612491000001,6.493102335,4.866406965
6390,6.562048736,5.8569615829999995,5.171778103,5.3310809930000005,5.7929867239999995,6.5651597289999994,6.319684615,6.892699707,6.096207151000001,8.196909306,7.110346327,7.007375952,4.622855629,4.79082039,7.355761983,4.6744331489999995,7.72992779,6.399247558,6.185469387,4.666720419,5.9176485229999995,7.155829776,7.086366708,6.99580732,4.13793478,5.321737753,5.184062421,4.483199505,4.754786088,5.664068457999999
6675,9.834889248,9.644316757999999,10.35106915,8.468382157999999,9.369689362999999,9.996223335,9.841723002,10.05873689,9.285377876,10.03316691,9.86284145,9.317711313,8.75263867,8.927146324,10.21853378,8.330979212,9.097508922000001,9.342088858,9.183996872,10.37528969,8.853775665,8.782352462,8.955135861,10.32352534,4.623264978,9.701579749,8.345063115,6.751847907999999,7.300338815,8.758099592999999
26279,5.410633186,5.771340556,6.224278487,6.422042364,5.455000693,5.541723843,5.775639118,5.116968391,6.117777231,5.597166216000001,5.653435784,6.125386529,6.047294412,5.834291189,7.01475166,5.66866871,5.356913351,6.191089798999999,6.107209097,6.383130157,5.7733436629999995,5.674346025,6.156010963,5.737557884,7.3919471020000005,5.600139721000001,6.463401755,6.714912761,6.881984032999999,6.004942026
3155,9.714373565,8.917100244,8.802817548,8.703993745,8.529249553,9.118397276,9.530085047,8.831938274,8.983531657999999,9.490892999,9.632104428,9.281367661,9.031260012,9.266913554,9.914809574,8.998275708,10.15230366,9.420875328,9.717196788999999,8.601237899,9.598318384,9.02522069,9.757564654,9.381102493,9.123439114,8.862136062000001,9.245286401,7.649103557999999,8.867739793,9.034486088
2582,7.180049749,7.197975007,7.742334082999999,6.815548328999999,7.745678505,7.252470258,7.113807031,7.198167085,7.224491175,7.59491953,7.136173319,7.06819099,6.864063645,7.868348576,7.590353006,7.258575531,7.449123042999999,6.834191147,7.384228786,8.630610257999999,7.220078999,7.032044524,7.032617715,7.126004103,9.482453365,6.937304134,7.989268326,8.647555579,6.559627074,6.688938174
6513,7.425019257000001,6.905244003,8.231974012,7.602947855,5.890899815,9.277876298999999,6.621017361,9.234290838,6.64448938,8.047357111,7.588897631,6.374037401,6.2846925879999995,6.710923522000001,10.18470447,7.301046661,9.827012623,7.3982939960000005,8.990438187999999,7.310862826,6.979000056,7.046354399,7.269412746,6.913572412000001,8.343576212,6.258620072,8.690046376,6.632548257000001,5.987461548,6.144896371000001
533,7.995653842,7.438379897000001,9.213473961,7.030086602999999,8.602424145,8.957205453,8.449282093999999,8.726432723,8.247531001,8.910614235,8.91738983,8.413137406,7.727589052999999,8.856044563,9.484487513,7.757980579,9.526273045,8.45785524,9.719645666,8.071090247,8.535218851,8.674512392,9.180402122,8.72402634,5.919138369,7.225355975,7.882307302999999,6.5090929189999995,6.535663982999999,8.00857983
8704,6.753286365,6.8490123270000005,6.460631524,5.776057926,7.233488905,7.620405431,7.341056278,7.558889579,6.474367249,6.5226325979999995,6.678126935,7.036603277,5.876977442,7.489333367,6.953422536000001,7.004227931,7.32093611,7.751608654,7.031343535,7.717802805,6.502600017000001,6.992919328999999,6.67588216,8.070342683,6.702311914,6.742132278,6.838953185,7.068056438999999,5.8120082470000005,6.4872205329999995
10327,10.44461937,9.161815452,10.41941398,9.115236469,10.053536300000001,10.69716981,11.1750576,10.58748329,9.935726405,10.85651725,11.29608261,10.71238045,9.412753581,9.467694389,11.29347848,9.49573254,10.80172438,10.82472637,10.76620549,9.769397063,10.34358491,10.74457236,11.031125,11.12022896,7.193551348,9.984860592999999,10.24832242,7.83672113,8.317220195,9.548035345
5052,10.85352649,9.594236566000001,10.16220745,8.469407589,10.05366291,10.57990347,10.85607935,10.68501377,9.449322875,11.13212039,10.78264746,10.79592417,9.066792201,9.681304186,11.39413171,9.234555986,10.92595688,10.33772331,11.10410736,10.11625359,9.980295057000001,11.06720538,10.99170498,11.01863022,7.661601817,9.713506352000001,9.916372008,7.760191389,8.071730849,9.40820818
8503,7.504815426,7.928582489,6.72558178,5.127111645,6.8086579160000005,6.911279192,6.336378527999999,6.914228862000001,7.6410241039999995,8.116871234,6.963023943,8.748113782,8.158280608,6.741976532000001,6.786125437000001,7.58930315,8.051594084,7.430676688999999,9.50074127,6.144579247,8.894018366000001,9.639391482,7.328324959,6.442926431,4.973326623,5.427716611,5.823536889,5.459201929,5.812924746,8.017393634
10560,7.813778687,10.40687607,10.84422887,7.946825464,8.483715092999999,8.265187837000001,8.734526393,8.546159731,8.451529493999999,8.149760557999999,8.06673237,7.5737104010000005,8.172934609,9.471248873,7.782434871,9.715425632999999,7.245779835,7.725938748,7.846103368,9.803319832,7.377864035,6.957623127000001,7.7139409510000005,8.77682234,4.675074404,8.415680867999999,7.462018382,4.676347702,6.790510782999999,7.954066491
5825,9.929984388,10.23027873,8.216361554,7.750370366,10.06710569,10.043546699999998,9.76289696,10.21697542,8.562428079,10.10371294,8.420550148,9.996929178,9.095111037999999,9.384572364,8.66122567,8.450819388,8.884016474,8.075791707999999,8.463242537000001,9.818090358,9.060418074,10.44140468,8.189119945,10.15279265,6.003185357,9.078304668,8.14014518,6.225381034,7.493213315,8.539811033
9588,12.05382879,12.22460328,11.53606518,10.49750834,11.90408069,12.14017396,12.10390754,12.16702875,10.87384004,12.30219364,11.71602788,12.0576975,11.41164573,11.38294778,11.79340576,11.73521223,11.53410935,11.31045334,11.73769472,11.93457893,11.92358363,12.35901529,11.40344027,12.21607689,9.056889371,11.68165044,11.61530384,9.123463982999999,10.27116497,11.18941182
3290,7.922689022,4.909011373,5.786111428,6.753919951,7.728247787999999,6.926984437000001,7.489611711,7.206537967,7.569925975,6.323128811,5.409547118,7.241890306,7.64008304,6.551575528,7.482462364,6.903940747999999,7.896489691,5.38096135,5.213668618,8.89010358,7.166174559,7.740228642999999,6.565635831,5.389105101,7.367060142000001,7.6109989229999995,4.999615712,5.484221905,6.5054012320000005,8.458120287
23443,7.415179961000001,7.62183153,5.630936406,5.937538007000001,7.103985021000001,7.558986941000001,6.998653448,7.78516383,6.0056033310000005,7.972443752,7.184469404,7.043708708,6.458325133,6.607200402,6.500715747,6.069157645,5.953862557999999,5.581980566,6.4509208110000005,5.130368976000001,5.861889907999999,7.705652451000001,6.523348447,7.525571622,4.209932571,6.461897885,5.109007991,3.410700683,5.63056014,6.352098738
57134,8.147857614,8.81549108,7.423870276000001,8.118338377,9.431775156,7.268192501000001,8.902872582999999,7.627294031,7.592763175,8.037960983,6.991565283,8.937463304,8.741458574,7.565748751,7.096108243,8.203603765,6.9317781279999995,8.554141927,7.39389243,7.049442353,8.225209503,8.514804055,8.069422096,6.433282955,8.140687604,9.991854434,6.426197407,6.994853869,8.99767063,8.759536366
200010,4.098567291,4.694219778,5.061161529,4.061585276000001,4.450615743,3.954859032,3.949834431,4.201995869,4.43471424,4.196820901000001,4.287183158,4.266931598999999,4.493489834,4.094155638,4.204528708,3.8036518630000002,4.072817977,4.193344883,3.9425960669999998,5.1065446880000005,3.8043021930000003,3.7955444839999997,3.9326704789999996,4.116363483,5.638290699,4.150919462,5.246756513999999,4.0169193960000005,3.886525025,4.231906898
51146,4.005879383,4.329056087,4.07839041,4.051368752,3.8705705630000002,3.89836767,3.85345606,3.969990745,4.525126622,3.784137967,3.475762369,3.9347080460000003,3.680566544,3.930894088,3.77577166,4.0185228010000005,4.224707615,4.0900127180000005,4.281505112,3.553254013,3.9823735730000003,3.951338712,4.02289239,3.7140277810000004,4.584442846,4.585989977,4.095029055,4.716801147,4.277954684,4.374697164
11181,3.831043779,3.72160665,4.46597611,3.8192972380000003,3.6727173060000005,4.024984213,3.7513354530000003,3.921341252,4.122155125,3.963949354,4.28159651,3.65628693,3.5678871119999997,3.7848007580000003,3.701543118,4.079247081,4.320829915,3.7513354530000003,3.733299275,3.8905583960000003,3.385540334,3.8881189810000003,4.038655905,3.6871656410000004,4.946411127,3.889897514,4.633432104,4.2915463030000005,4.010139618999999,3.485571493
335,6.9636928870000006,6.461939211000001,8.738259257000001,6.790758157000001,6.152345033,6.951159528,5.4285463179999995,6.636507234,6.224390023,5.807657105,5.9175664370000005,10.19570628,8.696858649,7.273338723999999,6.933978802,6.324854442,12.41192774,6.4782609870000005,6.58432486,5.751009488999999,7.549689972,7.977507202999999,6.775858629,5.601726061,6.1965103489999995,10.01342569,6.450830524,5.533279747999999,6.296927022,8.802724196
6543,4.429815498,4.781086462,5.060542122,6.710545453,4.98801063,4.273320485,4.888197293,3.943441454,5.124824273,4.625596715,5.255302391,4.042621588,5.96241507,4.840386347,4.703229863,4.70509771,4.621954075,5.118777711,5.1376701680000005,5.118636606,4.666068775,4.645489317,4.946612607,4.405203953,5.798300584,4.802959895,5.723438009,5.6219624239999995,5.656426741000001,5.591612564
23632,5.469886369,5.873582745,5.863686079,6.337165239,5.224410869,5.640327538999999,5.4699270460000005,5.111311928,5.493739718,4.785386912,5.784171795,5.975518927,6.02550927,5.469886369,5.577588099,5.494410016000001,5.100368614,5.7318667439999995,6.136429868,5.295458124,5.017058184,4.733303872,5.830169688,4.94201294,5.797913928,5.428753195,6.070073841,5.598310766,5.937429946,5.725073397
9789,3.5161364839999996,3.69643027,3.602073906,4.133287773,3.716202936,3.969723712,3.489918302,3.826819195,3.7905467839999996,3.781548542,3.876566238,4.199013908,4.161259675,3.540384275,3.5037765289999996,3.828117311,3.157471802,3.559156722,3.365155466,3.504365542,3.7918472089999997,3.2869349910000003,3.403177284,3.562692927,4.619673333,3.345660923,3.736672852,3.854938626,4.288249058,4.367131282
