,GSM997592,GSM997593,GSM997596,GSM997591,GSM997594,GSM997597,GSM997595,GSM997598
27430,9.199861677000001,8.700897411,10.70983228,9.306670271,9.467177053,8.346204647,10.35536829,10.40089131
3631,5.22605323,5.646205865,7.448840517000001,6.32499609,5.975101897,5.168384313,7.3895090539999995,7.688276912999999
56474,5.524379053,5.590004311,7.091438027000001,7.148631561,5.344574683,5.548901572,6.72448938,6.7164886379999995
51606,6.346110852000001,6.225101104,7.433385426,6.431671006,6.0099011010000005,5.235242941,7.78154231,7.285190494
1356,4.900562826,5.232684133,5.610157622999999,4.723127715,6.141080207999999,5.076877186,5.052320899,5.8313312879999994
50484,6.083534335,4.589799928,8.33932859,6.973351345,6.628315432999999,6.4010857560000005,7.901948366,7.452507535
2978,5.2626458210000004,5.51223007,5.75198966,5.941317571,5.372447846,6.021492686,5.560631062000001,5.492844677000001
9563,7.245644112000001,6.683228827000001,7.06878774,7.373741455,6.8484439329999995,7.624591995,6.565329072000001,7.304099764
3074,9.060994503,7.014751788,8.485048686,8.181476763,8.200009935,7.563131146,8.373835913999999,8.625740699
51528,6.312561567,7.280240159,8.411614217999999,7.736884784,6.415717002999999,6.077267257999999,8.377938298,8.19447737
9498,6.64985068,7.841675457000001,7.000940091,6.605410269,6.698000181,7.828586412999999,7.245079561,7.37975515
5291,5.774504824,5.178738902,5.284146692,5.07181263,6.469979375,4.08344533,7.232547488,6.281633557999999
6307,4.564161841000001,5.528872356,6.731908914,5.389247854,6.89606233,7.215155403,7.545727658,7.884520693
8574,6.827707858999999,5.9288879329999995,6.515548215,6.944110314,7.106183225,6.706161934,6.709549107000001,7.035197156000001
954,6.0119389210000005,6.192446456,5.621242795,5.699726877000001,5.759523317,6.219172524,5.833042364,5.257377974
2581,5.472680218,6.107524431,6.12981,6.558613938,5.9171817970000005,4.4903004,6.592894278999999,6.38693513
58508,7.1915947870000005,8.929845841,9.477028537,9.334966234,8.39338702,7.737763723,10.51002297,9.443955746
8908,5.435868017000001,5.466165762999999,5.213303306,5.967045132999999,6.3219220279999995,5.490562715,5.976234569,5.67344213
6646,7.0017355960000005,7.930918196,8.786162295,9.107272102,7.177211877,7.759860869,9.292006145,7.587722952999999
493,5.7286230389999995,5.140138691000001,6.966928762,4.458140288,6.377900267,5.055020784,6.774264925,5.318313764
1608,4.958672495,4.908477201,4.793710885,4.810220202,4.797434965,4.404677888999999,4.510939303,4.640614654
