,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
5238,6.081443762,5.5897170460000005,6.171668327000001,6.069450716,5.422297839,5.753651392999999,6.380544698,5.744444343,6.3013533079999995,5.854532132999999,6.3908561189999995,5.530310299999999,5.202787951,5.922978458999999,5.282604421,5.6559490079999994,5.600734216,5.888538801,6.75200855,5.725026732999999,6.352694629,5.512590785,6.687731779,6.705057361000001,6.95357863,5.71161498,6.1742926989999996,5.969263281,6.376187068999999,5.9196554820000005,6.305647315,5.608456063999999
112611,5.893997253999999,5.811191781000001,5.863125497,5.097362079,5.50754048,6.185426051,6.196406855,5.731426844,6.245039082999999,6.038524685,6.20378355,5.632039847000001,5.4642246210000005,6.319080362999999,5.498004712,6.081437662000001,5.571360632,6.100173459,6.654987874,5.6997311260000005,6.1756710660000005,5.807513093,5.849854659,6.040723107000001,6.299792789,5.360013669,6.1998505370000005,6.083272691,5.897434608999999,5.7794051820000005,6.204830705,5.757401708
55,5.22525108,6.623236316,6.222535768999999,4.992435911,5.118623394,5.325767978,4.597757044,4.931377882,4.910924433,6.190681226000001,5.819313472,5.49127617,4.961059781,5.238209189,7.54341058,5.320635455,5.226311491000001,5.116241474,4.864888273,6.0647503579999995,5.103662772,4.909116278,5.932894145,5.794326197,4.7801602139999995,4.43832497,4.825668576,5.15781541,5.471684625,5.453036567000001,5.54033399,4.91114491
4190,10.53190462,9.84182138,10.29388403,7.457258779,10.33655426,8.965078583,10.80995025,10.28650101,10.94259727,9.505220564,9.594359355,10.49937049,9.818800036,8.781403478,10.473105699999998,9.777039145,9.936055438,9.194048106,9.499743237,9.353946421,9.345201918999999,9.954100991,9.193801272,8.680754542999999,10.55358076,10.56153906,9.52452121,8.152096582999999,9.950358414,8.790585212,8.929690219,8.780779277999999
1800,5.429920964,6.252798447000001,5.226045816,6.111148926,5.4843858370000005,5.446035165,5.48111334,5.631075567000001,5.969362648,6.790703188999999,5.652961265,5.393676548999999,5.559228179,5.81494591,5.397694264,5.790842842000001,5.451207962000001,5.858674487,5.434169624,5.649309,5.652397432999999,5.634094226,5.528834783,5.7525108760000006,5.466199769,5.695686574,5.765028117999999,5.744513949,5.615167988,5.541595002,5.237980825,5.986684412000001
29881,6.0493942160000005,6.531435628,6.3204992739999994,6.1366208989999995,6.226253615,6.660580211,5.9331883020000005,6.3189308220000004,6.2233006689999995,6.257221049,6.25958687,6.57360861,6.0582436479999995,6.789158738999999,6.185862086,6.489434532000001,6.0150813020000005,6.347693077000001,6.135450106,6.2571891079999995,6.1492379370000005,6.677267265,6.340471176,6.207332878,6.376761289,6.2749505160000005,6.50584524,6.729888107000001,6.4659834620000005,6.667257744,6.158605452000001,5.982812663
64132,5.246130849,5.158758129,5.715490127000001,7.160832199,5.636947127999999,5.190900629,5.410481155,5.0142583,5.751071441000001,5.267085825,4.993165001,4.9683822619999995,5.173278316,4.790231018,5.8985842,5.708451597000001,5.947600748999999,5.352104066,5.6923424129999995,5.304440115,4.968011705,5.0373157939999995,4.731656617,5.485446209,5.805731964,5.650667822000001,5.464278762999999,5.4239615379999995,5.43614156,5.618987392999999,5.15520148,5.190948802
55349,8.382221755,7.3415553870000005,8.488724882,8.423094127,7.730510119,8.16179881,7.810542354,7.851513437,7.839597397,8.289091059,7.799839011,8.09611668,7.705199956,8.109415876,7.84195812,8.443398952999999,8.030751782000001,8.113490647999999,8.376369227,8.069101891,8.52759235,8.752271645,8.006674492,8.131459829,7.871916593,8.446831285,7.77097596,8.172117712999999,8.360075986,8.098189357999999,8.527940821,8.14985054
92745,5.804513417000001,5.181386918,5.087477593,5.3818204839999995,5.247446186,5.474344921,4.937616998999999,5.140761707,5.013683776000001,4.740010111,4.775104441,5.898596993,7.201388998,5.278904381,4.805343801999999,4.705026737,4.933477255,5.393417993,4.946552517,4.956600265,4.9918917469999995,5.402160293,5.011026865,4.764036203,4.982747526,5.041428615,4.643592503,4.885070185,4.912978713999999,5.177346632,5.117877491000001,5.097015206
6556,5.634841801,5.284157373,5.66232782,5.629346486,5.075216605,5.608800125,5.441880941,5.417657304,5.934834338,5.016931506000001,5.362530704,5.424845338,5.484228861,5.377677867,5.7044866160000005,5.01349013,5.228533069,5.343924202,5.384781835,5.648372345,5.455046225,5.2312302310000005,5.45969919,5.404228778999999,5.311778737,5.455046225,5.15681816,5.324069348,4.983180914,5.110242758,5.214999813,5.286529932
8540,5.930726663,6.224211327000001,6.780889811000001,5.153988196,6.680574967999999,5.727986657000001,6.297751858,6.733947607,7.364735894,6.215603307,6.539474171,6.719899275,6.273226031,6.866038785,7.480777855,5.898601181,6.017285556,6.793188155,6.64393142,5.793186037999999,5.30599614,6.78787441,6.647348372000001,6.020065272999999,7.1170762729999995,6.891619056000001,5.680859657,6.337783234,5.169140245,6.070543239,6.122502448,6.655155923
477,4.821721281,4.946621484,4.741826219,5.069073377,4.875158375,4.841718708,4.7738910080000005,5.117050109,5.010124095,4.973883657,5.011714078,4.941160303999999,4.617982012,4.869066095,4.801289752,4.956221511,4.852223817,4.950241032,4.99629723,4.959735787,5.0668856380000005,4.865049813,4.821265651,4.910283885,4.980381423,4.92819117,4.691871267,5.048597431,4.809089535,4.953768177,4.963943529,4.88370811
1591,5.513369387999999,2.9650667810000004,3.918589598,2.987511787,3.1252618310000004,3.564174825,2.90026691,2.9270769710000004,2.9700002839999997,2.835307737,5.337226686,2.997837715,9.687220476,3.010390045,5.002182596,3.038585733,2.863680931,2.94225995,3.158821474,2.8756049310000003,3.2387109639999996,4.132818479,3.139368698,2.865065682,2.990092615,3.7965669139999996,3.282088508,3.5192098439999997,3.040688323,5.63399286,3.0875923839999997,3.285854749
64816,4.8021766260000005,4.622539151000001,4.96121889,4.864299614,4.668431526,4.854142294,4.737080939,4.969983804,5.02539764,4.727578435,4.652863691,4.858673396,4.429842515,4.8301841880000005,4.824665359,4.653282203,4.529054573,4.742823016,4.595001887,5.071142793,4.843766435,5.176661677,5.3165095860000005,4.469338366000001,4.5805326630000005,4.54190541,4.804009685,4.831917146,4.744119736,4.532235291,4.936730968,4.648576393
