,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000436604,0.11,0,0.04
ENST00000533835,0,0,0
ENST00000361567,2307.28,2151.08,3068.5
ENST00000454389,0,0,0
ENST00000260600,5.97,7.35,6.41
ENST00000443521,1.1,0.75,1.94
ENST00000551220,0.03,0.03,0.03
ENST00000566590,0.02,0.1,0
ENST00000335430,0,0,0
ENST00000412435,0,0,0.08
ENST00000368373,26.61,10.83,10.09
ENST00000422941,0.07,0,0
ENST00000418102,0,0,0
ENST00000415421,0.3,0.42,0.26
ENST00000415352,21.78,24.7,20.98
ENST00000413218,1.4,2.64,1.99
ENST00000392789,17.04,13.99,5.77
ENST00000466896,0.81,1.81,2.02
ENST00000392781,0.96,0.12,0.67
ENST00000413743,0.03,0.06,0
ENST00000448094,0.37,0.38,0.31
ENST00000235958,0,0,0
ENST00000566049,0.11,0.16,0.06
ENST00000265808,0,0,0
ENST00000546893,0.76,2.59,0.08
ENST00000546892,0.16,0.02,0.01
ENST00000458249,0.12,1.14,0.12
ENST00000438104,0,0,0.07
ENST00000393960,5.86,5.33,4.81
ENST00000358711,0.51,0.46,1.23
ENST00000571617,0,0.04,0.04
ENST00000498193,0.14,0.54,0.18
ENST00000329366,0.18,0.02,0.2
ENST00000491614,7.12,5.86,9.31
ENST00000478274,0.07,0.04,0.21
ENST00000491340,0,0,0
ENST00000484451,0.68,0,0
ENST00000602728,73.49,96.53,100.55
ENST00000254035,0.74,0.5,0.45
ENST00000542998,0,0.26,0.13
ENST00000555757,0,0,0
ENST00000580151,0.11,0,0.2
ENST00000449946,0,0,0
ENST00000527806,0,0,0
ENST00000518725,0.5,0.24,0.68
ENST00000229335,0.11,0.17,0.22
ENST00000370355,307.82,252.3,69.61
ENST00000530257,0,0.18,0.17
ENST00000519839,0,0.19,0.07
ENST00000505036,1.07,0.85,1.05
ENST00000429064,0.19,0.93,0.64
ENST00000552903,0.12,0.17,0
ENST00000530258,0,0.04,0.07
ENST00000538402,0,0,0
ENST00000427930,0,0.04,0
ENST00000373352,0.1,0,0.7
ENST00000414979,0,0,0
ENST00000441420,0.25,0.03,0
ENST00000370320,0.42,3.21,1.12
ENST00000527734,0,0,0
ENST00000377442,0,0,0
ENST00000377443,0,0,0
ENST00000376248,0,0,0
ENST00000383168,176.78,73.75,95.44
ENST00000194130,0.01,0.02,0.01
ENST00000266771,5.95,4.81,3.66
ENST00000396065,0.15,0.27,0.14
ENST00000368081,0,0,0.26
ENST00000424135,0.05,0.16,0.05
ENST00000356865,8.18,2.95,5.03
ENST00000258494,2.68,10.66,0.97
ENST00000567277,0,0,0
ENST00000567270,5.41,0.85,3.65
ENST00000483108,0,0,0
ENST00000590472,0.19,0.21,0.17
ENST00000244217,7.75,5.05,5.77
ENST00000535206,0,0,0
ENST00000535757,0.53,0.32,0.18
ENST00000336279,3.29,1.24,0.74
ENST00000440783,0.9,0.81,2.32
ENST00000331056,0.1,0.08,0
ENST00000570907,0,0.11,0.21
ENST00000524480,0.05,0.06,0.19
ENST00000609092,0.16,0.06,0.09
ENST00000310160,0.52,0.41,0.43
ENST00000511813,0.92,0.75,0.76
ENST00000434299,4.23,5.73,5.83
ENST00000445684,0,0,0
ENST00000542058,0,0.14,0.06
ENST00000426514,0.2,1.21,0.27
ENST00000525650,0,0,0
ENST00000355808,0.49,1.15,1.77
ENST00000593515,0,0,0
ENST00000221363,0,0.81,0.8
ENST00000503283,0.38,0.82,1.36
ENST00000457143,4.53,4.41,6.99
ENST00000590299,0,0,0
ENST00000405392,1.68,0.72,1.57
ENST00000471824,0.3,0.68,0
ENST00000368964,0,0,0
ENST00000368963,0.04,0.04,0.07
ENST00000368962,0.64,0.72,0.49
ENST00000529546,0,0,0
ENST00000323374,0.18,0.14,0.34
ENST00000529548,0.11,0,0.09
ENST00000292591,9.14,10.15,7.51
ENST00000525385,0,0.18,0.83
ENST00000557629,0,0,0
ENST00000292596,0.82,0.39,1.56
ENST00000463412,0.46,0.66,0.58
ENST00000534405,0.53,0.38,0.13
ENST00000563080,0.08,0.04,0.22
ENST00000463414,0,0,0
ENST00000560266,40.91,32.47,46.7
ENST00000367439,5.93,5.71,4.59
ENST00000560261,0.19,0.39,0.54
ENST00000592033,0,0.09,0.25
ENST00000361778,1.83,1.24,2.34
ENST00000216780,3.83,1.05,2.88
ENST00000335606,1.21,1.91,1.36
ENST00000265022,16.96,12.85,0.81
ENST00000585811,0,0,0
ENST00000490994,0,0,0
ENST00000557990,3.69,2.53,1.94
ENST00000431170,0,0.04,0.06
ENST00000280346,2.98,4.25,6.39
ENST00000415165,0,0,0
ENST00000357096,0,0.31,0
ENST00000587072,0,0.11,0
ENST00000579624,0.11,0,0
ENST00000342512,3.56,4.21,1.84
ENST00000504811,0.35,1.04,0.63
ENST00000345239,1.06,1.29,1.15
ENST00000566690,0,0.2,0.53
ENST00000508459,0,0,0
ENST00000405931,1.3,1.99,2.17
ENST00000254853,1.78,2.29,1.75
ENST00000261196,0,0,0
ENST00000254854,0.04,0.02,0.02
ENST00000453733,0,0.05,0
ENST00000264193,9.26,5.04,5.73
ENST00000488357,0.06,0.08,0.07
ENST00000488356,1.14,0.34,0.76
ENST00000360289,0,0,0.04
ENST00000476082,0.03,0,0
ENST00000423583,0.63,1.35,1.43
ENST00000523732,0.2,0.17,0.29
ENST00000569958,0,0,0
ENST00000546755,0.12,0,0.09
ENST00000595567,0.15,0,0.61
ENST00000284971,93.07,62.86,80.79
ENST00000595568,0,0.11,0.07
ENST00000441209,0.08,0.07,0.13
ENST00000417069,1.41,1.37,1.35
ENST00000341991,6.56,5.29,14.21
ENST00000588571,0,0,0.04
ENST00000588572,0.22,0.4,0.43
ENST00000341998,11.62,3.32,1.72
ENST00000458229,0,0,0
ENST00000536120,0,0,0.05
ENST00000278618,31.07,38.08,40.76
ENST00000412471,0.55,0.51,0.39
ENST00000369705,3.43,1.73,0.97
ENST00000592299,1.01,0.61,1.27
ENST00000569545,96.52,78.64,69.08
ENST00000526817,0,0,0
ENST00000549175,0,0.05,0
ENST00000291572,16.66,12.19,14.19
ENST00000321429,0.19,0.12,0.19
ENST00000509270,0,0.06,0
ENST00000370131,0.69,0.89,0.37
ENST00000382020,2.01,4.49,3.05
ENST00000370132,2.71,2.46,6.05
ENST00000356057,0,0,1.2
ENST00000545314,0.86,0.99,2.91
ENST00000494474,0,0,0
ENST00000572352,0,0,0
ENST00000601714,0.05,1.02,0.01
ENST00000458504,0,0.11,0.05
ENST00000601712,0.38,0.5,0.9
ENST00000510191,10.43,14.24,4.75
ENST00000547802,0.46,0.17,0.1
ENST00000542837,0,0,0
ENST00000358525,0.89,0,0.08
ENST00000565644,36.6,35.32,22.71
ENST00000508177,0.32,0.46,0.16
ENST00000440156,0,0,0
ENST00000469013,0.09,0.57,1.09
ENST00000589154,0,0.56,0
ENST00000503902,0.1,0.09,0.15
ENST00000448137,0.14,0.23,0
ENST00000589620,0,0,0
ENST00000472505,0.14,0.15,0.32
ENST00000282075,0.88,1.07,0.05
ENST00000228740,23.27,20.89,14.8
ENST00000428056,0.57,0.99,1.1
ENST00000439635,0,0,0
ENST00000550714,0,0.04,0
ENST00000550716,0.11,0,0
ENST00000413009,1.38,1.34,1.19
ENST00000528431,0.38,0.25,0.37
ENST00000541567,0.55,1.12,0.66
ENST00000520148,4.35,4.03,2.51
ENST00000451283,17.47,15.61,22.68
ENST00000573591,0,0,0
ENST00000383376,0.66,1.26,1.08
ENST00000429182,0.61,1.07,0.71
ENST00000394349,9.56,6.05,3.41
ENST00000417584,18.01,7.8,13.42
ENST00000417583,0.04,0,0.17
ENST00000444450,0,5.77,1.14
ENST00000409741,0,0.01,0.01
ENST00000336642,0.35,0.1,0.85
ENST00000433898,3.12,1.87,4.33
ENST00000336648,1.42,2.57,2.89
ENST00000433895,0,0,0
ENST00000401463,0.04,0.07,0
ENST00000589689,0,0,0
ENST00000376652,5.14,5.01,2.78
ENST00000505197,0.03,0,0
ENST00000566846,0.23,0.19,0.08
ENST00000505192,0.05,0.46,0.22
ENST00000330775,8.68,8.01,2.72
ENST00000602133,5.38,24.96,7.14
ENST00000479013,13.42,17.76,13.77
ENST00000222982,0.11,0.03,1.53
ENST00000563762,0.17,0.61,0.78
ENST00000493402,0,0,0
ENST00000496166,0,0.06,0
ENST00000453286,0.04,0,0
ENST00000556001,0.05,0,0.08
ENST00000546034,1.93,1.55,0.02
ENST00000395164,0,0,0
ENST00000321341,13.1,15.82,13.11
ENST00000447314,0,0,0
ENST00000546038,0,0.12,0
ENST00000524719,0.12,0.18,0.33
ENST00000524245,0.26,0.15,0.53
ENST00000264027,17.8,16.56,9.34
ENST00000420554,7.86,7.55,2.8
ENST00000292432,0.45,0.29,0.13
ENST00000481531,0,0,0
ENST00000261247,9.23,6.46,12.66
ENST00000426896,0.23,0.5,0.76
ENST00000367080,7.53,3.08,20.39
ENST00000325935,3.3,6.46,1.22
ENST00000523942,0,0.13,0
ENST00000319540,513.32,524.87,197.98
ENST00000429860,0.08,0,0.04
ENST00000414172,0.07,0.03,0.09
ENST00000414170,0,0,0.02
ENST00000380859,0,0,0
ENST00000380858,0.1,0.16,0.02
ENST00000411986,1.17,0.83,1.14
ENST00000380851,1.06,1.3,1.56
ENST00000535414,0.14,0.63,1.21
ENST00000262623,0,0,0
ENST00000367885,0.81,1.9,9.77
ENST00000367884,0,0.14,0
ENST00000519962,0,0,0
ENST00000367883,0,0,0.17
ENST00000367889,38.84,16.91,22.95
ENST00000367888,0.91,3.09,2.81
ENST00000261024,18.02,8.3,15.24
ENST00000264057,4.91,10.21,4.33
ENST00000515480,0,0.18,0
ENST00000560030,0,0,0
ENST00000560528,0.09,0.21,0.42
ENST00000592997,0.62,0.16,0.39
ENST00000454776,0.09,0.38,0
ENST00000462686,0.04,0.09,0.43
ENST00000457284,0.27,1.12,0.47
ENST00000592999,0,0.07,0.04
ENST00000457282,0.5,0.85,1.07
ENST00000405233,0.21,0.98,0.55
ENST00000198801,0,0,0
ENST00000405237,0,0.55,0.75
ENST00000509465,0.98,1.35,1.53
ENST00000600297,0,0.13,0
ENST00000035307,5.95,7.52,5.75
ENST00000356608,0,0,0
ENST00000408041,0.08,0.43,0.1
ENST00000274137,34.89,24.55,46.64
ENST00000519222,0.23,0.69,0.4
ENST00000437534,0.51,1.71,0.31
ENST00000542552,0.08,0.11,0.19
ENST00000317799,145,63.88,140.89
ENST00000412985,0,0,0
ENST00000532322,0,0,0.06
ENST00000275428,8.89,12.78,12.98
ENST00000531673,0.4,1.11,1.13
ENST00000480374,0.32,0.11,0.09
ENST00000413580,0.05,0.09,0
ENST00000541097,0,0,0
ENST00000445268,0,0.98,0.37
ENST00000361543,0.45,0.39,0.21
ENST00000442940,1.11,0.06,0.33
ENST00000445261,0,0.11,0
ENST00000411726,0,0.45,0.51
ENST00000442944,0.12,0.19,0.09
ENST00000533817,0.08,0,0.14
ENST00000551123,1.4,2.37,1.21
ENST00000223122,0,0,0.14
ENST00000223127,20.24,13.94,17.16
ENST00000374332,3.24,1.84,4.31
ENST00000428800,0,0,0.04
ENST00000412186,0,0.14,0
ENST00000397060,0,0,0
ENST00000267978,9.02,7.17,3.54
ENST00000418124,0.32,0.59,1.76
ENST00000326656,6.74,4.18,4.19
ENST00000326303,0.17,0.15,0.4
ENST00000396222,0,0,0
ENST00000375826,0.39,1.01,1.09
ENST00000403184,0.2,0.42,0.47
ENST00000378486,2.09,1.11,2.18
ENST00000374487,0.02,0.11,0.07
ENST00000295834,0.12,0.08,0.03
ENST00000566433,0.08,0,0.08
ENST00000437397,0,0,0
ENST00000453507,0.09,1.29,0.3
ENST00000398595,0.8,1.92,2.99
ENST00000510761,0.25,0.21,0.05
ENST00000543208,0,0,0
ENST00000352035,16.15,32.13,24.51
ENST00000544523,0,0.69,1.93
ENST00000449049,0.27,0,1.16
ENST00000545121,0.43,0.5,1.2
ENST00000514423,0,0,0.05
ENST00000249005,2.22,0.58,1.61
ENST00000478255,0.61,0.18,0.3
ENST00000419984,1.27,2.08,4.08
ENST00000584803,0,0,0.03
ENST00000312017,0,0,0
ENST00000278426,0.43,0.42,0.7
ENST00000527284,2.98,4.18,1.48
ENST00000588722,0,0,0
ENST00000530231,0,0,0
ENST00000519816,0.25,0.29,0.53
ENST00000395750,41.54,22.47,4.18
ENST00000395753,1.08,4.94,0.24
ENST00000361682,7.97,5.83,15.16
ENST00000395759,1.06,1.77,1.91
ENST00000220966,5.34,5.75,3.93
ENST00000420633,0,0,0
ENST00000373371,7.01,6.13,6.73
ENST00000521979,0.09,0.14,0.07
ENST00000285930,83.25,67.57,88.36
ENST00000567336,0.06,0,0.29
ENST00000406117,0.11,0,0
ENST00000565784,0,0,0
ENST00000382760,0.15,0.2,0.13
ENST00000401722,0,0.22,0.18
ENST00000591058,0,0,0
ENST00000424061,0,0,0
ENST00000273814,1.66,2.66,1.89
ENST00000416849,0,0,0
ENST00000299626,8.94,9.57,5.43
ENST00000591050,1.78,1.14,1.58
ENST00000395575,3.75,2.31,7.75
ENST00000604847,0.05,0,0
ENST00000338971,0,0,0
ENST00000564788,0.05,0.05,0
ENST00000430379,0,0,0.14
ENST00000417464,0,0,0
ENST00000417467,0,0.17,0.11
ENST00000558956,0,0,0
ENST00000225275,0.05,0.05,0.19
ENST00000557273,0,0,0.05
ENST00000450884,0.12,0,0.04
ENST00000401850,0.1,0.14,0.07
ENST00000259037,54.96,36.09,33.56
ENST00000554068,0.2,0,0.08
ENST00000554065,0.05,0.05,0.18
ENST00000497959,0.22,0.57,0.48
ENST00000340932,0,0,0
ENST00000454962,5.4,1.14,5.32
ENST00000503111,0.57,0.9,1.94
ENST00000460317,0.07,0.23,0.08
ENST00000437341,0,0.05,0.04
ENST00000373760,0.76,0.4,0.97
ENST00000380993,0,0,0.01
ENST00000502506,0.16,0.15,0.38
ENST00000486512,0.01,0.03,0.04
ENST00000525674,0,0,0
ENST00000537950,0,0,0
ENST00000433979,0,0,0
ENST00000553384,13.61,11.36,16.44
ENST00000475075,0.07,0.09,0.53
ENST00000559924,0,0.1,0
ENST00000524502,1.28,1.55,0.69
ENST00000295736,0,0.01,0.15
ENST00000265594,8.55,13.43,7.75
ENST00000590900,0.01,0,0.02
ENST00000512218,0,0.64,0.27
ENST00000542782,0,0,0
ENST00000512216,0.86,0.85,1
ENST00000557604,0.2,0.07,0.1
ENST00000453344,0.32,0,0.58
ENST00000464350,0.02,0.05,0.03
ENST00000410115,30.09,13.37,20.33
ENST00000534137,0,1.37,0
ENST00000342751,1.14,1.61,2.98
ENST00000380448,0.02,0.04,0
ENST00000561553,23.89,28.97,15.82
ENST00000461490,0.01,0.72,0.37
ENST00000524537,0.73,0.11,0
ENST00000592828,0.08,0.14,0
ENST00000378625,0.18,0.25,0.31
ENST00000532868,0,0.13,0.13
ENST00000409237,0.85,2.69,1.03
ENST00000568783,0,0.08,0.16
ENST00000372418,0.31,0.27,0.12
ENST00000372419,0,0,0
ENST00000543785,0.02,0.01,0.01
ENST00000443896,0,0.03,0.01
ENST00000447102,2.14,2.03,1.01
ENST00000339708,0.04,0,0.08
ENST00000405913,0,0.01,0.01
ENST00000377842,0.12,0.57,0.05
ENST00000453759,0,0,0.38
ENST00000422611,4.25,4.14,9.01
ENST00000574162,0,0,0
ENST00000377845,0,0,0
ENST00000544061,2.35,0.87,0.99
ENST00000488800,0,0,0.03
ENST00000435638,0,0,0.13
ENST00000368547,43.01,31.74,28.27
ENST00000267502,0,0.14,0.12
ENST00000437704,6.63,5.18,1.93
ENST00000379850,1.22,0.69,0.69
ENST00000555126,1.06,2.65,2.77
ENST00000406938,5.88,8.73,6.63
ENST00000418061,0,0,0
ENST00000369722,23.69,16.69,38.22
ENST00000431054,0.26,0.44,0.1
ENST00000588558,0.29,0.73,0.51
ENST00000369724,3.71,4.76,4.12
ENST00000460006,26.2,20.17,20.48
ENST00000569562,1.17,1.11,1.41
ENST00000431056,0,0,1.56
ENST00000575384,0,0,0
ENST00000379274,0,0.04,0
ENST00000379145,8.63,12.5,10.63
ENST00000379144,1.39,4.06,2.28
ENST00000370153,0,0,0
ENST00000389022,2.04,3.7,2.24
ENST00000370155,0,0,0
ENST00000355221,4.35,2.6,2.95
ENST00000603027,0.25,0.53,0.61
ENST00000433372,0.42,0.48,0.92
ENST00000408981,0,0.16,0.23
ENST00000451445,1.17,0,1.04
ENST00000545335,0.65,0.25,0.3
ENST00000494453,0,0,0
ENST00000432367,0.16,0.16,0
ENST00000472695,0.04,0,0.1
ENST00000573359,0,0,0
ENST00000601778,0.41,0.14,0
ENST00000457723,0.08,0.3,0.13
ENST00000549338,37.37,30.09,8.08
ENST00000452938,0.32,0.27,0.79
ENST00000358055,0,0,0
ENST00000558096,0,0,0.12
ENST00000585525,0,0,0
ENST00000539696,0,0,0
ENST00000588800,3.15,1.63,1.33
ENST00000431622,0,0.3,0.06
ENST00000588802,21.77,6.44,12.77
ENST00000331886,0,0.06,0
ENST00000534457,2.09,1.8,2.29
ENST00000585528,0,0,0.23
ENST00000557049,0,0,0
ENST00000528771,0.41,1.21,0.09
ENST00000448449,0.49,0.32,0.26
ENST00000287936,27.26,37.26,9.13
ENST00000421046,0.2,0.21,0.14
ENST00000348286,0,0.19,0
ENST00000396987,12.17,14.88,15.12
ENST00000503927,0,0.1,0
ENST00000472528,1.15,2.95,2.42
ENST00000526839,0.04,0,0.03
ENST00000511591,0.64,1.28,1.58
ENST00000526834,0.15,0.4,0
ENST00000439616,1.27,1.33,1.22
ENST00000315251,5.95,23.73,4.41
ENST00000539698,0,0,0
ENST00000504591,0.27,0.21,0.35
ENST00000585747,0,0.31,0.19
ENST00000418919,13,6.84,10.24
ENST00000298510,62.39,45.8,39.43
ENST00000554381,0.19,0,0.3
ENST00000354171,129.49,95.61,131.58
ENST00000330289,0.02,0,0
ENST00000338702,36.46,3.22,9.72
ENST00000215904,3.68,5.21,3.79
ENST00000285093,4.53,1.35,6.39
ENST00000493243,4.7,0.14,2.9
ENST00000334398,7.55,11.04,16.95
ENST00000539260,0.06,0.06,0.04
ENST00000256689,32.82,43.58,30.81
ENST00000539263,0,0,0
ENST00000380494,7.89,13.39,5.38
ENST00000576541,0,0,0
ENST00000416479,0.04,0,0.27
ENST00000505170,0,0.32,0.22
ENST00000316694,3.96,1.9,5.53
ENST00000447484,0,0,0
ENST00000577155,0,0,0.05
ENST00000524080,0,0,0
ENST00000481970,0.03,0,0
ENST00000493429,0.02,0.01,0
ENST00000587601,0.04,0,0.03
ENST00000346299,3.53,3.08,4.53
ENST00000544886,0.9,3.18,0.2
ENST00000506889,1.05,2.34,0.92
ENST00000589869,0,0.13,0
ENST00000354506,0,0,0.27
ENST00000478753,1.21,0.95,0.92
ENST00000392928,0,0,0
ENST00000521564,0,0.25,0.07
ENST00000366730,5.98,6.27,3.52
ENST00000539888,0.39,1.15,0.68
ENST00000453600,0,0,0.14
ENST00000308666,1.79,0.62,0.17
ENST00000453602,0,0,0
ENST00000574640,0,0,0
ENST00000375252,0.07,0.09,0.09
ENST00000375257,1.57,0.39,0.24
ENST00000538132,0.34,0.12,0.08
ENST00000575019,0.08,0.08,0.13
ENST00000375259,0.21,0.1,0.06
ENST00000341413,0,0.11,0.22
ENST00000380839,0.23,0.31,0.23
ENST00000341411,0.01,0,0.92
ENST00000535434,1.01,0.81,1.07
ENST00000341142,0,0,0.23
ENST00000593594,0,0.1,0
ENST00000456849,3.62,0.83,1.14
ENST00000342144,0.12,0.03,0.73
ENST00000554897,0.09,0.2,0.31
ENST00000375337,0,0,0
ENST00000445633,0,0.04,0.03
ENST00000586516,0.15,0,0.59
ENST00000343818,59.39,35.79,47.15
ENST00000457269,1.54,0,1.88
ENST00000502336,0.71,0,0.08
ENST00000489769,0.07,0,0
ENST00000241069,4.53,4.99,0.12
ENST00000450272,1.35,3.09,3.6
ENST00000559717,6.68,7,7.22
ENST00000399191,0,0,0
ENST00000393376,1.87,2.01,4.58
ENST00000452696,0.07,0,0
ENST00000542576,0,0,0
ENST00000472069,0.13,0,0
ENST00000542575,1.01,1.61,3.24
ENST00000512002,0,0,0
ENST00000415644,0.02,0.14,0
ENST00000532306,0,0,0
ENST00000381125,34.38,18.24,46.01
ENST00000413561,0,0,0.08
ENST00000361036,7.41,4.33,4.29
ENST00000361035,0,0.02,0
ENST00000361521,0.14,0.28,0.19
ENST00000511298,0,0,0
ENST00000585650,0.36,0.63,0
ENST00000533874,0,0,0.2
ENST00000461263,1.35,0.82,1.5
ENST00000526640,4,0,1.53
ENST00000577712,0,0.21,1.6
ENST00000362000,0.42,0.18,0.29
ENST00000537486,0,0,0
ENST00000378868,20.75,19.45,35.62
ENST00000398061,8.13,7.92,5.33
ENST00000217426,47.73,54.21,39.88
ENST00000397736,10.22,7.28,7.16
ENST00000568579,0,0,0
ENST00000404168,0.06,0.07,0
ENST00000321324,0.07,0.24,0.09
ENST00000379333,0.01,0,0
ENST00000543196,2.27,1.4,1.72
ENST00000357681,9.02,13.36,22.71
ENST00000464985,0,0,0
ENST00000607482,0,0,0
ENST00000326402,1.89,3.69,2.18
ENST00000548418,0,0.1,0
ENST00000371491,0,0,0.13
ENST00000317118,0.02,1.24,0.02
ENST00000218197,4.57,3.97,6.15
ENST00000554372,0,0.04,0
ENST00000540430,0.11,0.09,0
ENST00000524866,0,0,0
ENST00000524860,0,0,0.16
ENST00000571650,2.89,2.07,2.93
ENST00000588120,0.08,0,0.04
ENST00000449184,0.14,0.48,0.32
ENST00000434860,0,0.67,0.11
ENST00000351273,0,0.02,0.05
ENST00000303749,0.07,0.04,0
ENST00000491309,0.27,0.59,0.49
ENST00000545102,1.06,0.28,0.79
ENST00000603276,0,0,0
ENST00000528442,0.07,0,0
ENST00000494157,0.08,0,0.25
ENST00000484496,0.31,0.08,0.56
ENST00000416286,0,0,0
ENST00000519602,0,0,0
ENST00000221418,72.1,39.39,97.62
ENST00000473005,0.05,0.05,0.04
ENST00000377661,0.06,0.07,0.02
ENST00000536354,0.18,0.05,0.37
ENST00000531437,0,0,0.14
ENST00000558399,0.16,0,0.03
ENST00000531433,0.47,0,0
ENST00000582170,0.6,0.29,0.21
ENST00000582171,0,0,0
ENST00000229379,315.72,198.08,317.94
ENST00000564811,31.8,18.81,31.25
ENST00000564812,0,0,0.07
ENST00000583332,0.17,0.06,0.21
ENST00000429028,0.53,1.05,0.4
ENST00000564818,0.71,0.26,0.09
ENST00000393434,23.37,2.86,10.72
ENST00000465172,0,0,0
ENST00000572094,0,0,0
ENST00000567357,0.25,0.16,0.19
ENST00000373316,12.99,19.19,12
ENST00000377403,2.96,8.12,7.17
ENST00000425249,0,0.07,0
ENST00000454035,0.04,0,0
ENST00000395559,0,0.09,0.01
ENST00000542372,0,0.05,0.04
ENST00000395550,0.15,0,0.74
ENST00000263038,5.73,5.25,37
ENST00000395555,0,0,0.02
ENST00000567238,0,0.01,0.02
ENST00000460189,0,0,0
ENST00000338911,0,0.93,2.28
ENST00000439260,0,0,0
ENST00000558978,0.03,0.08,1.92
ENST00000483141,0.81,2.36,1.91
ENST00000266088,0.01,0.02,0.01
ENST00000355591,0,0,0
ENST00000581242,0,0,0
ENST00000475890,0.23,0.48,0.68
ENST00000605997,79.37,21.51,51.57
ENST00000506455,0.4,0.65,0
ENST00000503130,0,0,0
ENST00000524698,0,2.72,0.31
ENST00000442361,0.05,0,0.16
ENST00000524690,0.44,0.5,0.24
ENST00000502525,0.04,0.03,0
ENST00000309951,4.18,1.75,0.57
ENST00000315758,53.75,63.6,83.35
ENST00000285379,82.96,9.18,9.35
ENST00000228027,1.95,7.59,3.57
ENST00000427797,0.49,0.33,0.88
ENST00000411549,1.1,1.97,1.78
ENST00000372043,0.3,0,0.13
ENST00000372040,1.93,0.45,0.89
ENST00000561996,0,0,0
ENST00000395630,0,0,0
ENST00000430939,0.24,0.6,0.39
ENST00000597205,0,0,0.09
ENST00000368923,1.67,0.61,0.5
ENST00000431042,0,0.01,0
ENST00000394602,0.01,0.04,0.02
ENST00000225665,40.54,29.96,24.41
ENST00000394607,2.14,3.4,1.51
ENST00000368924,3.2,3.25,1.46
ENST00000398806,0.36,0.36,0
ENST00000528192,0,0.07,0
ENST00000498791,0,0,0
ENST00000534116,0.71,0.43,1.52
ENST00000381809,32.3,21.98,36.1
ENST00000443580,0,0,0.03
ENST00000268097,5.08,5.36,5.71
ENST00000486393,0.31,1.1,0.92
ENST00000372435,41.62,25.47,32.52
ENST00000481169,0.16,0.3,0.17
ENST00000486396,0,0,0
ENST00000409215,0,0,0
ENST00000451800,0.24,0.4,0.55
ENST00000293971,2.46,0.9,0.73
ENST00000505433,0.27,1.02,0.45
ENST00000559943,0,0,0
ENST00000590430,0,0.15,0.16
ENST00000305107,0,0,0
ENST00000354289,4.19,4.2,3.14
ENST00000301335,2.33,2.15,1.54
ENST00000231420,0,0,0
ENST00000512499,0,0,0
ENST00000456492,0.3,0.55,0.99
ENST00000548888,0,0,0
ENST00000296255,82.13,58.48,61.51
ENST00000415044,0,0.1,0
ENST00000426119,0.12,0.15,0.11
ENST00000328957,1.21,1.26,7.43
ENST00000507146,0.15,0.47,0.1
ENST00000361505,11.64,10.45,25.24
ENST00000556825,5.8,3.45,6.23
ENST00000005756,0,0,0
ENST00000466072,0.44,0.49,0.22
ENST00000229810,0,0,0
ENST00000604912,0,0,0
ENST00000300682,2.41,3.89,6.54
ENST00000462761,0,0.13,0
ENST00000449291,1.54,1,0.5
ENST00000300688,63.64,39.36,27.35
ENST00000414700,11.21,4.39,13.08
ENST00000430553,7.25,2.86,12.59
ENST00000584103,0,0.04,0.32
ENST00000379789,24.73,10.32,50.91
ENST00000430554,0,0,0.04
ENST00000379785,0.09,0.14,1.26
ENST00000524986,0.07,0,0.07
ENST00000524984,0.35,1.22,0.19
ENST00000261783,2.52,0.85,6.07
ENST00000278655,0.32,0,0
ENST00000406955,0.81,2.38,1.34
ENST00000347587,0.32,0.39,0.21
ENST00000423324,0,0,0
ENST00000423320,0,0,0
ENST00000575813,0.31,0.47,0.94
ENST00000565223,0,0.26,0.27
ENST00000564069,0,0.14,0
ENST00000529631,0.49,0.04,0
ENST00000373144,2.58,4.12,2.56
ENST00000291539,3.2,6.05,9.79
ENST00000373146,3.6,2.32,2.78
ENST00000373141,0,0.22,0.23
ENST00000373142,1.77,0.23,0.6
ENST00000560817,2.75,3.4,0.82
ENST00000333850,0.03,0.14,0
ENST00000509238,0.11,0.31,0.16
ENST00000293756,4.3,1.03,0.78
ENST00000541113,7.88,4.57,4.98
ENST00000257261,171.28,118.97,181.01
ENST00000433358,1.4,1.23,0.94
ENST00000440274,5.07,0.97,4.27
ENST00000459637,48.03,36.36,44.52
ENST00000570738,0,0,0
ENST00000361193,6.93,8.06,14.28
ENST00000378789,0,0.01,0.02
ENST00000553834,0,0,0
ENST00000553837,0,0,0
ENST00000432348,1.43,2.25,2.03
ENST00000548082,0,0.02,0.87
ENST00000526580,0.42,1.08,0.58
ENST00000309309,0,0,0
ENST00000517761,0.43,0.69,0.64
ENST00000564688,0,0,0.04
ENST00000222286,0.6,1.04,2.57
ENST00000550285,0.04,0,0.03
ENST00000518237,0,0,0
ENST00000527980,0,0,0
ENST00000003100,12.31,44.13,32.68
ENST00000302174,11.97,10.54,13.52
ENST00000537354,0.06,0.05,0.35
ENST00000528756,0,0,0
ENST00000469053,0,0,0
ENST00000530910,0.48,1.23,1.31
ENST00000429236,0,0.61,0
ENST00000286063,0.65,1.38,0.33
ENST00000526361,18.24,19.11,22.38
ENST00000421967,4.85,8.96,6.58
ENST00000418937,0.03,0.08,0
ENST00000418933,0.1,0.77,0.09
ENST00000409456,0.14,0.37,0.3
ENST00000221485,6.67,9.64,0.43
