,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635
10402,4.896239045,5.2220668230000005,5.488584733,5.059060178999999,4.54302924,4.557706288
5476,8.196724209,8.264434277000001,7.686414041,8.326727867999999,8.953281652000001,8.957361103
6558,6.638642075,8.049758138,7.297198498999999,7.571702785,8.549360477,7.993774804
4942,12.27291335,12.72592515,12.262967399999999,12.47879851,12.74912483,12.33465945
1606,6.7594194729999995,6.740319239,6.75019923,6.389384775,5.859365465,6.240159472999999
4710,8.872076078,9.175839472,9.00676008,8.719000411,8.745142556000001,9.139639719
4199,9.017304711,10.05881362,9.838597427,8.081643051,9.100788064,9.598503489
10797,9.07592456,7.867672477,8.514581982000001,7.283591469,8.529197300000002,6.46285607
84679,6.259531702,7.1805034039999995,6.318668734,6.470693307,7.316003841000001,6.990090058
5141,6.745497638,6.424020949,6.082041105,6.141414602999999,6.07912043,5.579399446
6550,4.66497572,4.486963574,4.2985145760000005,4.723637431,4.534301331,4.593688879
2235,7.647222011,8.055382904,8.335541841,7.743810179,7.859135342999999,7.590901712000001
5214,7.23155153,7.125362312999999,7.065280108,6.915307552000001,8.349419875,7.294085264
3422,8.392542778,8.78898185,8.859501751,9.542608922000001,9.335962012000001,8.435676412000001
8611,12.0528666,12.15945264,12.02865987,12.21500749,12.24765405,11.90428098
5315,7.051357497000001,6.792126312000001,6.22248486,7.194516016000001,7.953224337000001,7.366198412999999
3421,7.043423777999999,7.074052341,7.261093925,6.853222747999999,7.35409757,7.5689735129999995
492,4.45878269,4.249036528,4.750627235,4.646070689,5.2864524710000005,4.650467746
80347,7.826154548,7.90061798,7.589911407000001,8.200063554,8.291300704,8.24608694
2182,7.461889677,7.068595332,7.237415165,7.605836712,7.72684331,6.218402466000001
3632,8.314600603999999,9.487318022,8.742047197,8.612150363,9.403273638,9.228006723
51447,9.066960678,9.389523536,9.23382963,9.172396505,9.903307667,9.65815071
5837,5.460721499,4.992632393,4.928319223,5.245052519,5.326570746,4.992632393
10060,4.458375405,5.599269146,5.356019279,4.656065345,4.239150308,5.348669281
4129,9.513071243999999,10.90428184,9.591093958,9.477664685,10.00117437,10.71946128
483,11.31505075,10.8996392,11.19981917,10.81811766,10.95703502,10.375185499999999
9488,7.231110878,7.56537007,7.741290112000001,7.667483547000001,7.5564873729999995,7.4637129170000005
2984,3.104926432,3.389330269,2.972713699,3.270253755,3.119834144,3.233644603
55808,4.479035585,4.770202822,4.132545894,3.926353406,4.628159352,4.239677456
3340,4.913577144,4.949360134,4.754105592,4.982298963,4.82645791,5.3528553610000005
1103,4.05580207,3.934323865,3.9456268389999996,4.225390068,3.910682273,3.872522004
6559,5.171033044,4.772930786,4.928948275,4.845400468999999,4.612270755,4.9440442419999995
490,9.765135945,9.514594098,10.37452568,10.21006409,9.485530827,8.841256121
11320,8.26481056,8.15601286,8.070913077,7.720953452000001,8.483786367,7.68484128
79901,11.71516141,12.18268457,12.17345911,11.92641099,11.46947445,11.51410721
51109,9.825229126,10.36919443,10.16421894,9.908698157,10.38087774,9.819038839
224,10.91476685,11.17794838,11.28950261,10.86866405,11.10517868,11.0503448
8974,9.457501372000001,9.852090075,9.286868296,10.10334898,10.4485931,9.921535800000001
37,8.936533516,9.256940395,9.388046426,9.890756225,9.901590205,10.0468946
949,7.754601876000001,8.218830908,8.001926162,7.838021961,7.717653508,8.230189819
5151,7.826154548,8.211288938,8.369448506,7.907326659,7.487306594,7.233192661
8647,4.176932909,3.960035809,3.793289922,3.802385033,3.822470818,4.017045106
5743,5.261858698,5.384072151,5.688478917,5.867735219,5.523359726,3.575531862
6480,9.304357814,8.965348482000001,9.122613376,8.610224147,8.486094324,8.359917527
4905,8.127999853,8.491064506,8.638879999,8.248387327,8.807445558,8.07670368
771,10.07983332,8.778849781,9.672532736,9.440948667,9.744686716,8.098073054
11343,7.95707956,7.661658661000001,8.541902168,7.071385434,6.5368773000000004,7.00294316
9187,6.769724747000001,7.748026854,6.950218228,7.341947652000001,7.350271777000001,7.666895402000001
2023,10.443180499999999,10.81671304,10.67958439,10.81768102,12.03855887,10.83785015
6557,3.168036423,3.115676173,3.33892022,3.34563433,2.933686101,3.4436421489999995
38,9.061767879,9.303489697,9.559172861,9.103148734,9.307339169,8.976924375
5250,12.54984292,12.80407699,12.73043422,12.37149459,12.81172863,12.72227338
5337,7.441541458,7.026224441,7.314361312000001,6.6438028739999995,5.588828339,7.288984497
113235,6.75180812,6.078146818,6.374329782999999,6.131120631,6.200790836,6.4398689860000005
32,7.5979150220000005,7.071706647999999,7.666960875,7.417666245,7.147543643,7.76217338
22978,8.695173013,9.122063167,8.964513174,8.944523382,9.029412648,9.236282778
8527,6.957399342,7.053273527999999,6.859169737,6.9056657679999995,6.650863512999999,7.196767793999999
7299,3.814325596,3.357684682,3.42311257,3.477333277,3.227189821,3.2461704510000002
56922,7.383243492,7.777074052000001,7.828426134,7.601356619,7.30212746,7.583550871
5289,8.691426871,8.886019502,9.351511171,8.948111119,9.004866058,8.771927925
8871,6.553817777000001,6.660355517,6.544756006,6.262559371,6.442991748,6.237013847999999
108,5.834963659,6.250172246,5.561213303,5.627560604,5.993085732999999,6.596259645
6507,6.425844253999999,7.116907922999999,6.843858547000001,5.767666247999999,6.636293928,6.676466577999999
2222,10.71204965,11.44106887,11.18825629,11.23025842,11.26616661,11.02064738
5050,6.5963369179999995,6.237532506,6.074298288,6.497757987999999,6.765513821,7.107052772
5236,9.952960597,10.63598445,9.89964272,9.839811708,10.4909884,10.52005021
26002,5.133360631,5.934872326,6.114595812,6.394610093,6.608178214,5.816594113
1638,4.3499934730000005,4.362331571,4.648035893,4.6963497389999995,4.5143486180000005,4.958029386000001
50700,4.074849215,3.2667254860000003,3.6419349860000003,3.667455355,4.193830151,3.872522004
1371,7.786037987,7.361858819,7.788465909,7.359233883,7.2546495460000004,7.242569686
384,4.9048382219999995,4.61672856,4.628297975,4.847830838,4.69904091,4.718532618
4036,5.980364573999999,5.760629997000001,6.321911945,7.048581949,5.351236025,6.016242469
65985,7.2225449710000005,7.927301142,7.601868156,8.081643051,7.974480628999999,7.6335636220000005
6561,2.497807438,2.472723255,2.638542715,2.513987492,2.429604866,2.559260461
4200,9.642567785,9.56405731,9.607594634,9.387524862000001,9.489284234,8.154465856
594,6.293441059,6.094790955,6.102545881,6.1868465310000005,6.2736740179999995,6.154871443999999
5351,6.320462526,6.541995753999999,6.680948876,6.855966158999999,7.019318698999999,6.937762541000001
5019,7.211648713,7.601287674,6.930049722000001,7.684443302999999,7.577205146,7.080387892999999
10998,5.476091267,6.01965325,5.873101877000001,5.977082982000001,5.89977633,6.084457058
3034,4.836899703,4.267745713,4.872969878999999,5.023454323999999,4.29911872,4.51998045
6579,4.305298345,4.089798643,3.99900834,3.97601433,4.319990026,4.3973031780000005
338,3.989836442,3.801677282,4.01671497,3.648002252,3.667194235,3.453373333
3030,9.708978941,9.959378977,9.464973091000001,9.488069195,9.850383761,9.993337621
790,6.991909562000001,7.231843607,6.741000434,7.123782948,7.009989497,7.252897172999999
231,8.979893503,9.338072528,9.313342011,8.76853043,9.549482224,9.548320579
4258,9.07210599,8.983397367,8.964912772,8.875944079,9.856706854,9.239809316
2683,6.973510726000001,7.312695625,7.502103421,7.165233262999999,7.351858254,7.401502627
22929,8.592278101,9.335794937000001,8.667980407,8.873954203,9.230450681,8.914671596
80271,6.121051552000001,6.032645272999999,6.209761946,6.271330521,5.990379502000001,6.300100934
3294,5.749820296,5.8048152029999995,5.640431394,5.648211423999999,6.5381493829999995,7.698893582999999
8310,5.9168453670000005,6.852415178999999,6.460525442000001,6.461267655,7.08106436,6.966806322
8898,7.918645078,7.656488546,7.864840533,7.599652562999999,7.82646124,7.540774232
43,4.381274822,4.405990827,4.231341682,4.393594503,4.101976726,4.256154631
94005,7.457358619,7.178221222,7.018420183,7.545123483999999,7.950302215,7.171461079
9489,7.416583527999999,7.5053587870000005,7.296959941,7.421474657999999,7.857016628999999,7.826611152000001
6820,4.953186336,4.809206587,4.636429883,4.769220453,4.494476221,4.975433715
29929,8.203327259,8.404239934,7.85158724,7.927793157000001,8.514174411,7.0083602339999995
1789,6.570738812999999,6.2616538539999995,6.170163327999999,6.313856532999999,6.124083037999999,6.402601539
6564,3.9322140389999998,3.939641122,3.678510658,3.886622467,3.685464277,3.849241232
23483,7.241141401,7.292444503,7.5751115239999995,7.724822769,7.421770175,7.0736610429999995
9962,5.336665849,4.726628452,5.034910411,5.35965762,5.0837917919999995,5.370751024
4842,4.903234928,4.477752052,4.706902532,4.6680463539999995,4.375849238,4.895229269
9843,5.894898583,8.072820311000001,5.516641074,6.762999043,7.441173466,8.528132394
645,9.554967583,8.705867506,10.08884327,8.637440297000001,8.048276001,8.620011965
6548,7.30621795,7.520025056000001,6.668133245,7.385362053,7.421083727,7.343553185
